year,company,facility,city,province,naics,amount
2021,Dow Chemical Canada ULC,Western Canada Operations,Fort Saskatchewan,Alberta,325110,1188.3416
2020,3313045 NOVA SCOTIA COMPANY,Varennes Facility,VARENNES,Quebec,326140,1.289
2021,3313045 NOVA SCOTIA COMPANY,Varennes Facility,Varennes,Quebec,326140,0.971
2020,Irving Consumer Products Limited,Irving Tissue Corporation,TORONTO,Ontario,322121,60.72
2021,Irving Consumer Products Limited,Irving Consumer Products Limited,Toronto,Ontario,322121,49.09
2020,Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,BURNABY,British Columbia,562210,221.426
2021,Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,Burnaby,British Columbia,562210,247.782
2020,Honda Canada Inc.,Honda of Canada Mfg.,ALLISTON,Ontario,336110,52.088
2021,Honda Canada Inc.,Honda of Canada Mfg.,Alliston,Ontario,336110,49.199
2020,Husky Oil Operations Limited,Lloydminster Refinery,Lloydminster,Alberta,324121,67.4256
2021,Husky Oil Operations Limited,Lloydminster Refinery,Lloydminster,Alberta,324121,68.4476
2020,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,PRINCE GEORGE,British Columbia,324110,83.862
2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Prince George,British Columbia,324110,83.3484
2020,Tidewater Midstream and Infrastructure Ltd.,Ram River Sour Gas Plant,ROCKY MOUNTAIN HOUSE,Alberta,211110,456.304
2021,Tidewater Midstream and Infrastructure Ltd.,Ram River Sour Gas Plant,Rocky Mountain House,Alberta,211110,480.915
2020,Husky Oil Operations Limited,Lloydminster Upgrader,LLOYDMINSTER,Saskatchewan,211110,1084.225514
2021,Husky Oil Operations Limited,Lloydminster Upgrader,Lloydminster,Saskatchewan,211110,989.106
2020,The International Group Inc.,Agincourt Plant,TORONTO,Ontario,324190,36.784
2021,The International Group Inc.,Agincourt Plant,Toronto,Ontario,324190,37.218
2020,Caledonian Midstream,Quirk Creek Gas Plant,MILLARVILLE,Alberta,211110,240.326
2021,Caledonian Midstream,Quirk Creek Gas Plant,Millarville,Alberta,211110,250.672
2020,Imperial Oil Resources N.W.T. Limited,Norman Wells Central Processing Facility,NORMAN WELLS,Northwest Territories,211110,190.1189
2021,Imperial Oil Resources N.W.T. Limited,Norman Wells Central Processing Facility,Norman Wells,Northwest Territories,211110,169.4
2020,Canadian Natural Resources Limited,Wapiti Deep Cut Plant 04-08-069-08 W6M,,Alberta,211110,544.612
2021,Canadian Natural Resources Limited,Wapiti Deep Cut Plant 04-08-069-08 W6M,N/A,Alberta,211110,345.816
2020,Accel Canada Holdings Limited,Redwater Sour Gas Plant 01-29,REDWATER,Alberta,211110,76.604
2021,Conifer Energy Inc.,Redwater Sour Gas Plant 01-29,Redwater,Alberta,211110,138.076
2021,Conifer Energy Inc.,Judy Creek Gas Conservation Plant,Swan Hills,Alberta,211110,103.56375
2020,Imperial Oil Resources Limited,Cold Lake,GRANDE CENTRE,Alberta,211141,6637.043
2021,Imperial Oil Resources Limited,Cold Lake,Grande Centre,Alberta,211141,6946.92699
2020,Vale Canada Limited,Copper Cliff Smelter,COPPER CLIFF,Ontario,331410,235.35
2021,Vale Canada Limited,Copper Cliff Smelter,Copper Cliff,Ontario,331410,155.2
2020,Diageo Canada Inc.,Usine de Valleyfield,SALABERRY-DE-VALLEYFIELD,Quebec,312140,37.5
2021,Diageo Canada Inc.,Usine de Valleyfield,Salaberry-de-Valleyfield,Quebec,312140,34.1
2020,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,QUESNEL,British Columbia,322112,849.26
2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Quesnel,British Columbia,322112,816.74773
2021,Ingredion Canada Corporation,Ingredion Canada Incorporated - London Plant,London,Ontario,311221,419.626
2020,Ingredion Canada Corporation,Ingredion Canada Corporation,CARDINAL,Ontario,311221,79.453
2021,Ingredion Canada Corporation,Ingredion Canada Corporation,Cardinal,Ontario,311221,78.886
2020,Kemira Chemicals Canada Inc.,KEMIRA CHEMCIALS CANADA INC. - DELTA,DELTA,British Columbia,325999,3.208
2021,Kemira Chemicals Canada Inc.,KEMIRA CHEMCIALS CANADA INC. - DELTA,Delta,British Columbia,325999,3.208
2020,O-I Canada Corp.,Plant #31 Brampton,BRAMPTON,Ontario,327214,326.59
2021,O-I Canada Corp.,Plant #31 Brampton,Brampton,Ontario,327214,338.016
2020,NuVista Energy Ltd.,Wembley Gas Plant,WEMBLEY,Alberta,211110,35.209
2021,NuVista Energy Ltd.,Wembley Gas Plant,Wembley,Alberta,211110,46.273
2020,Louisiana Pacific Canada Ltd.,Golden EWP Division,GOLDEN,British Columbia,321215,45.123
2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,Golden,British Columbia,321215,43.557
2020,Meridian Brick,Meridian Brick - Burlington,BURLINGTON,Ontario,327990,11.48
2020,Windsor Salt Ltd.,Belle Plaine Facility,BELLE PLAINE,Saskatchewan,311940,2.189
2021,Windsor Salt Ltd.,Belle Plaine Facility,Belle Plaine,Saskatchewan,311940,2.099
2020,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Castlegar,British Columbia,322112,418.41
2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Castlegar,British Columbia,322112,374.76
2020,Energy Transfer Canada,Kaybob South #3 Gas Plant,FOX CREEK,Alberta,211110,504.943
2021,Energy Transfer Canada,Kaybob South #3 Gas Plant,Fox Creek,Alberta,211110,490.616
2020,Keyera Corp,Pembina  North Gas Plant,DRAYTON VALLEY,Alberta,211110,432.768
2021,Keyera Corp,Pembina  North Gas Plant,Drayton Valley,Alberta,211110,416.3535
2020,Keyera Corp,Fort Saskatchewan Plant,FORT SASKATCHEWAN,Alberta,211110,60.923
2021,Keyera Corp,Fort Saskatchewan Plant,Fort Saskatchewan,Alberta,211110,66.0519
2020,Lafarge Canada Inc.,Richmond Cement Plant,RICHMOND,British Columbia,327310,1103.0
2021,Lafarge Canada Inc.,Richmond Cement Plant,Richmond,British Columbia,327310,1583.99
2020,Louisiana Pacific Canada Ltd.,LP Dawson Creek,DAWSON CREEK,British Columbia,321217,39.121
2021,Louisiana Pacific Canada Ltd.,LP Dawson Creek,Dawson Creek,British Columbia,321217,47.712
2020,Macco Organiques Inc.,Usine de Valleyfield,VALLEYFIELD,Quebec,325189,8.715
2021,Macco Organiques Inc.,Usine de Valleyfield,Valleyfield,Quebec,325189,8.407
2020,Catalyst Paper Corporation,Powell River Division,POWELL RIVER,British Columbia,322111,241.88
2021,Catalyst Paper Corporation,Powell River Division,Powell River,British Columbia,322111,346.0
2020,Department of National Defence,8 Wing Trenton Environmental Management,ASTRA,Ontario,911110,2869.05
2021,DEPARTMENT OF NATIONAL DEFENCE,8 Wing Trenton Environmental Management,Astra,Ontario,911110,2462.86
2020,Department of National Defence,14 Wing Greenwood,GREENWOOD,Nova Scotia,911110,13.929
2020,Uniboard Canada Inc,"Uniboard Canada inc, usine Mont-Laurier",,Quebec,321216,270.6
2021,Uniboard Canada Inc,"Uniboard Canada inc, usine Mont-Laurier",Mont-Laurier,Quebec,321216,285.0
2020,Axiall Canada Inc.,Axiall Canada Inc.,BEAUHARNOIS,Quebec,325181,10.2
2021,Axiall Canada Inc.,Axiall Canada Inc.,Beauharnois,Quebec,325181,8.3
2020,City of Ottawa,Robert O. Pickard Environmental Centre,,,221320,67.6
2021,City of Ottawa,Robert O. Pickard Environmental Centre,Ottawa,Ontario,221320,56.3
2020,Evonik Oil Additives Canada Inc.,Morrisburg Plant,Morrisburg,Ontario,325999,1.33
2020,Northern Pulp Nova Scotia Corporation,Northern Pulp Nova Scotia Corporation,ABERCROMBIE,Nova Scotia,322112,54.31
2021,Manitoba Hydro,Brandon Generating Station,Brandon,Manitoba,221112,19.838
2020,Meadow Lake Mechanical Pulp,Meadow Lake Mechanical Pulp,MEADOW LAKE,Saskatchewan,322111,230.0
2021,Meadow Lake Mechanical Pulp,Meadow Lake Mechanical Pulp,Meadow Lake,Saskatchewan,322111,210.0
2020,Millar Western Forest Products Ltd.,Whitecourt Pulp Division,WHITECOURT,Alberta,322111,130.0
2021,Millar Western Forest Products Ltd.,Whitecourt Pulp Division,Whitecourt,Alberta,322111,85.6819
2020,Domtar Inc.,Dryden Mill,DRYDEN,Ontario,322112,685.193
2021,Domtar Inc.,Dryden Mill,Dryden,Ontario,322112,681.038
2020,Produits forestiers Résolu,Usine de Gatineau,GATINEAU,Quebec,322122,229.05883
2021,Produits forestiers Résolu,Usine de Gatineau,Gatineau,Quebec,322122,239.292
2020,Produits forestiers Résolu,Resolute Forest Products - Thunder Bay Operations,THUNDER BAY,Ontario,322112,1037.777
2021,Produits forestiers Résolu,Resolute Forest Products - Thunder Bay Operations,Thunder Bay,Ontario,322112,1029.917
2020,Lantic Inc. - Vancouver Refinery,Lantic Inc. - Vancouver Refinery,VANCOUVER,British Columbia,311310,40.0692
2021,Lantic Inc. - Vancouver Refinery,Lantic Inc. - Vancouver Refinery,Vancouver,British Columbia,311310,38.516
2020,Lantic Inc. Taber Factory,Lantic Inc. Taber Beet Sugar Factory,TABER,Alberta,311310,43.923
2021,Lantic Inc. Taber Factory,Lantic Inc. Taber Beet Sugar Factory,Taber,Alberta,311310,65.919
2020,Produits forestiers Résolu,Usine Kénogami,SAGUENAY,Quebec,322122,33.46645
2021,Produits forestiers Résolu,Usine Kénogami,Saguenay,Quebec,322122,33.21407
2020,Produits forestiers Résolu,Division Alma,Alma,Quebec,322111,88.4249
2021,Produits forestiers Résolu,Division Alma,Alma,Quebec,322111,80.4616
2020,Alberta Newsprint Co.,ALBERTA NEWSPRINT,WHITECOURT,Alberta,322122,150.8227
2021,Alberta Newsprint Co.,ALBERTA NEWSPRINT,Whitecourt,Alberta,322122,171.749
2020,Alberta Power 2000 Ltd.,Battle River Generating Station,FORESTBURG,Alberta,221112,1399.4168
2021,Alberta Power 2000 Ltd.,Battle River Generating Station,Forestburg,Alberta,221112,1929.5995
2020,Alberta Power 2000 Ltd.,Sheerness Generating Station,HANNA,Alberta,221112,5283.4402
2021,Alberta Power 2000 Ltd.,Sheerness Generating Station,Hanna,Alberta,221112,3052.9643
2020,Milner Power Limited Partnership by its GP Milner Power Inc.,H.R.Milner Generating Station,MUNICIPAL DISTRICT OF GREENVIEW,Alberta,221112,163.34065
2021,Milner Power Limited Partnership by its GP Milner Power Inc.,H.R.Milner Generating Station,Municipal District of Greenview,Alberta,221112,181.8135
2020,SUEZ Canada Waste Services Inc.,Swan Hills Treatment Center,SWAN HILLS,Alberta,562210,41.689
2021,SUEZ Canada Waste Services Inc.,Swan Hills Treatment Center,Swan Hills,Alberta,562210,34.613
2020,Algoma Steel Inc. ,Algoma Steel Inc,SAULT STE. MARIE,Ontario,331110,712.310165
2021,Algoma Steel Inc. ,Algoma Steel Inc,Sault Ste. Marie,Ontario,331110,681.9528
2020,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,Bécancour,Quebec,331313,46.225
2021,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,Bécancour,Quebec,331313,50.412
2020,Whitecap Resources Inc.,Olds Gas Plant,OLDS,Alberta,211110,98.955
2021,Whitecap Resources Inc.,Olds Gas Plant,Olds,Alberta,211110,262.854
2020,Canlin Energy Corporation,Ferrier Gas Plant,,Alberta,211110,122.521
2021,Canlin Energy Corporation,Ferrier Gas Plant,Ferrier,Alberta,211110,128.043
2020,Canlin Energy Corporation,Boundary Gas Plant (11/14-24-084-15W6M),,British Columbia,211110,5.119
2021,Canlin Energy Corporation,Boundary Gas Plant (11/14-24-084-15W6M),FSJ - Boundary Lake Sour,British Columbia,211110,4.932
2020,Plains Midstream Canada ULC,Empress Gas Plant,MEDICINE HAT,Alberta,211110,43.092
2021,Plains Midstream Canada ULC,Empress Gas Plant,Medicine Hat,Alberta,211110,46.525
2020,AltaSteel Inc.,AltaSteel Inc.,EDMONTON,Alberta,331110,78.49
2021,AltaSteel Inc.,AltaSteel Inc.,Edmonton,Alberta,331110,82.52
2020,Cameco Corporation,Port Hope Conversion Facility,PORT HOPE,Ontario,325189,49.0
2021,Cameco Corporation,Port Hope Conversion Facility,Port Hope,Ontario,325189,48.0
2020,Cameco Corporation,Key Lake Operation,SASKATOON,Saskatchewan,212291,24.23
2021,Cameco Corporation,Key Lake Operation,Saskatoon,Saskatchewan,212291,25.51
2020,Agrium Inc.,Joffre Nitrogen Operations,LACOMBE COUNTY,Alberta,325313,26.96
2021,Agrium Inc.,Joffre Nitrogen Operations,Lacombe County,Alberta,325313,25.92
2020,Agrium Potash Ltd.,Vanscoy Potash Operations,Vanscoy,Saskatchewan,212396,31.99
2021,Agrium Potash Ltd.,Vanscoy Potash Operations,Vanscoy,Saskatchewan,212396,61.033
2020,Skookumchuck Pulp Inc.,Skookumchuck Operation,SKOOKUMCHUCK,British Columbia,322112,436.47
2021,Skookumchuck Pulp Inc.,Skookumchuck Operation,Skookumchuck,British Columbia,322112,343.6
2020,Domtar Inc.,Domtar Usine de Windsor,WINDSOR,Quebec,322121,1514.102
2021,Domtar Inc.,Domtar Usine de Windsor,Windsor,Quebec,322121,1552.0255
2020,Panolam Industries Ltd.,Panolam Industries Ltd.,HUNTSVILLE,Ontario,321216,74.293
2021,Panolam Industries Ltd.,Panolam Industries Ltd.,Huntsville,Ontario,321216,80.43
2020,INVISTA (Canada) Company,Maitland Site,MAITLAND,Ontario,325190,87.903
2021,INVISTA (Canada) Company,INVISTA (Canada) Company-Maitland Site,Maitland,Ontario,325190,92.05
2020,Twin Rivers Paper Company Inc.,Edmundston Pulp Mill,EDMUNDSTON,New Brunswick,322112,910.8
2021,Twin Rivers Paper Company Inc.,Edmundston Pulp Mill,Edmundston,New Brunswick,322112,838.93
2020,Glencore,Sudbury Operations Mines Mill - Onaping Area,ONAPING,Ontario,212232,189.123422
2021,Glencore Canada Corporation,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,212232,212.317466
2020,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,FALCONBRIDGE,Ontario,331410,79.823
2021,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,Ontario,331410,78.6137
2020,Canfor Pulp Ltd.,Canfor Taylor Pulp,TAYLOR,British Columbia,322111,39.026
2021,Canfor Pulp Ltd.,Canfor Taylor Pulp,Taylor,British Columbia,322111,32.386
2020,Catalyst Paper Corporation,Crofton Division,Crofton,British Columbia,322112,1008.28
2021,Catalyst Paper Corporation,Crofton Division,Crofton,British Columbia,322112,1002.42
2020,Gibraltar Mines Ltd.,Gibraltar Mine (SFO),McLeese Lake,British Columbia,212233,291.6282
2021,Gibraltar Mines Ltd.,Gibraltar Mine (SFO),McLeese Lake,British Columbia,212233,302.119642
2020,Goodyear Canada Inc.,Goodyear Canada Inc. ,NAPANEE,Ontario,326210,15.32
2021,Goodyear Canada Inc.,Goodyear Canada Inc. ,Napanee,Ontario,326210,19.9
2020,Greater Vancouver Sewerage and Drainage District,Annacis Island Wastewater Treatment Plant,DELTA,British Columbia,221320,54.5951
2021,Greater Vancouver Sewerage and Drainage District,Annacis Island Wastewater Treatment Plant,Delta,British Columbia,221320,70.9203
2020,Keyera Corp,Brazeau River Gas Plant,DRAYTON VALLEY,Alberta,211110,60.891
2021,Keyera Corp,Brazeau River Gas Plant,Drayton Valley,Alberta,211110,52.8376
2020,Pine Cliff Energy Ltd.,Morrin Ghost Pine Sweet Gas Plant,,Alberta,211110,507.0715
2021,Pine Cliff Energy Ltd.,Ghost Pine Sweet Gas Plant 08-11-031-21W4,na,Alberta,211110,459.7649
2020,Keyera Corp,Nordegg River Gas Plant,NORDEGG,Alberta,211110,242.035
2021,Keyera Corp,Nordegg River Gas Plant,Nordegg,Alberta,211110,243.7594
2020,Keyera Corp,Rimbey Gas Plant,RIMBEY,Alberta,211110,562.871
2021,Keyera Corp,Rimbey Gas Plant,Rimbey,Alberta,211110,499.5137
2020,Keyera Corp,Strachan Gas Plant,ROCKY MOUNTAIN HOUSE,Alberta,211110,394.698
2021,Keyera Corp,Strachan Gas Plant,Rocky Mountain House,Alberta,211110,503.6957
2020,Nanaimo Forest Products Ltd.,Harmac Pacific Operations,NANAIMO,British Columbia,322112,192.878
2021,Nanaimo Forest Products Ltd.,Harmac Pacific Operations,Nanaimo,British Columbia,322112,222.682
2020,Howe Sound Pulp & Paper Corporation,Howe Sound Pulp and Paper Mill,Port Mellon,British Columbia,322112,1131.754
2021,Howe Sound Pulp & Paper Corporation,Howe Sound Pulp and Paper Mill,Port Mellon,British Columbia,322112,1021.5818
2020,Husky Oil Operations Limited,Rainbow Lake Gas plant,RAINBOW LAKE,Alberta,211110,44.78708
2021,Husky Oil Operations Limited,Rainbow Lake Gas plant,Rainbow Lake,Alberta,211110,40.7084
2020,Imperial Oil,Sarnia Chemical Plant,SARNIA,Ontario,325110,415.1
2021,Imperial Oil,Sarnia Chemical Plant,Sarnia,Ontario,325110,445.3
2020,Vale Canada Limited,Clarabelle Mill,COPPER CLIFF,Ontario,212232,15.1
2021,Vale Canada Limited,Clarabelle Mill,Copper Cliff,Ontario,212232,14.34
2020,Vale Canada Limited,Copper Cliff Nickel Refinery,COPPER CLIFF,Ontario,331410,77.0
2021,Vale Canada Limited,Copper Cliff Nickel Refinery,Copper Cliff,Ontario,331410,63.77
2020,MOSAIC POTASH ESTERHAZY LIMITED PARTNERSHIP,MOSAIC POTASH ESTERHAZY - K1 SITE,ESTERHAZY,Saskatchewan,212396,33.21
2021,Mosaic Potash Esterhazy Limited Partnership,MOSAIC POTASH ESTERHAZY - K1 SITE,Esterhazy,Saskatchewan,212396,32.22
2020,MOSAIC POTASH ESTERHAZY LIMITED PARTNERSHIP,MOSAIC POTASH ESTERHAZY - K2 SITE,ESTERHAZY,Saskatchewan,212396,90.22
2021,Mosaic Potash Esterhazy Limited Partnership,MOSAIC POTASH ESTERHAZY - K2 SITE,Esterhazy,Saskatchewan,212396,86.2
2020,Ivaco Rolling Mills 2004 L. P.,Ivaco Rolling Mills,L'ORIGNAL,Ontario,331110,115.777414
2021,Ivaco Rolling Mills 2004 L. P.,Ivaco Rolling Mills,L'Orignal,Ontario,331110,155.183309
2020,Fortress Cellulose Spécialisée,Usine de Thurso,THURSO,Quebec,322112,79.843
2021,Fortress Cellulose Spécialisée,Usine de Thurso,Thurso,Quebec,322112,82.348
2020,"KRONOS Canada, Inc.","KRONOS Canada, Inc.",Varennes,Quebec,325189,80.705
2021,"KRONOS Canada, Inc.","KRONOS Canada, Inc.",Varennes,Quebec,325189,103.25
2021,KIRKLAND LAKE GOLD INC,Macassa Mine,Kirkland Lake,Ontario,212220,115.116
2020,"Lake Utopia Paper A Division of J.D. Irving, Limited","Lake Utopia Paper A Division of J.D. Irving, Limited",Utopia,New Brunswick,322130,157.8
2021,"Lake Utopia Paper A Division of J.D. Irving, Limited","Lake Utopia Paper A Division of J.D. Irving, Limited",Utopia,New Brunswick,322130,149.0
2020,Catalyst Paper Corporation,Port Alberni Division,PORT ALBERNI,British Columbia,322121,202.616
2021,Catalyst Paper Corporation,Port Alberni Division,Port Alberni,British Columbia,322121,241.44
2020,Molson Coors Canada,Brasserie de Montréal,MONTRÉAL,Quebec,312120,33.0
2021,Molson Coors Canada,Brasserie de Montréal,Montréal,Quebec,312120,25.0
2021,Molson Coors Canada,Brasserie de Montréal,Montréal,Quebec,312120,25.0
2020,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Manitoba Mill",Selkirk,Manitoba,331110,91.8854
2021,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Manitoba Mill",Selkirk,Manitoba,331110,106.557
2020,Arclin Canada Holdings Ltd.,Arclin Canada Ltée - Ste Therese,SAINTE-THÉRÈSE,Quebec,325210,1.3639999999999999
2020,New Brunswick Power Corporation,Coleson Cove Generating Station,SAINT JOHN,New Brunswick,221112,111.9
2021,New Brunswick Power Corporation,Coleson Cove Generating Station,Saint John,New Brunswick,221112,432.3
2020,New Brunswick Power Corporation,Belledune Generating Station,BELLEDUNE,New Brunswick,221112,2942.4
2021,New Brunswick Power Corporation,Belledune Generating Station,Belledune,New Brunswick,221112,3437.1
2021,Mosaic Potash Colonsay ULC,Mosaic Potash Colonsay,Colonsay,Saskatchewan,212396,26.9
2020,Norbord inc,Division La Sarre,LA SARRE,Quebec,321217,312.4239
2021,Norbord inc,Division La Sarre,La Sarre,Quebec,321217,321.4691
2020,Keyera Corp,Minnehik Buck Lake Gas Plant,BUCK LAKE,Alberta,211110,74.127
2020,Canadian Natural Resources Limited,Progress Gas Plant 01-01-078-10 W6M,,Alberta,211110,18.049
2021,Canadian Natural Resources Limited,Progress Gas Plant 01-01-078-10 W6M,N/A,Alberta,211110,15.692
2020,Northland Power Inc.,Kirkland Lake Generating Station,Kirkland Lake,Ontario,221112,1850.655
2021,Northland Power Inc.,Kirkland Lake Generating Station,Kirkland Lake,Ontario,221112,1012.007
2020,NOVA Chemicals Corporation (OBPS),Corunna Site,CORUNNA,Ontario,325110,1714.329
2021,NOVA Chemicals Corporation (OBPS),Corunna Site,Corunna,Ontario,325110,1798.579
2020,NOVA Chemicals Corporation,NOVA Chemicals Corporation (Joffre),LACOMBE,Alberta,325110,2746.798
2021,NOVA Chemicals Corporation,NOVA Chemicals Corporation (Joffre),Lacombe,Alberta,325110,2317.684
2020,Methanex Corporation,Methanex Medicine Hat Methanol Plant,MEDICINE HAT,Alberta,325190,894.704
2021,Methanex Corporation,Methanex Medicine Hat Methanol Plant,Medicine Hat,Alberta,325190,470.418
2020,INEOS Styrolution Canada Ltd.,INEOS Styrolution,SARNIA,Ontario,325110,313.4635
2021,INEOS Styrolution Canada Ltd.,INEOS Styrolution,Sarnia,Ontario,325110,258.5264
2020,NOVA Chemicals Corporation (OBPS),Moore Site,MOORETOWN,Ontario,325210,108.952
2021,NOVA Chemicals Corporation (OBPS),Moore Site,Mooretown,Ontario,325210,130.145
2020,Canfor Pulp Ltd.,Northwood Pulp Mill,PRINCE GEORGE,British Columbia,322112,643.797
2021,Canfor Pulp Ltd.,Northwood Pulp Mill,Prince George,British Columbia,322112,676.342
2020,Ontario Power Generation Inc.,Lennox Generating Station,GREATER NAPANEE,Ontario,221112,80.2
2021,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,Ontario,221112,88.9
2020,Cascades Canada ULC,CASCADES EMBALLAGE CARTON-CAISSE CABANO,TEMISCOUATA-SUR-LE-LAC,Quebec,322121,156.8
2021,Cascades Canada ULC,CASCADES EMBALLAGE CARTON-CAISSE CABANO,Temiscouata-sur-le-Lac,Quebec,322121,135.0
2020,PRODUITS KRUGER s.e.c.,Produits Kruger s.e.c.,CRABTREE,Quebec,322121,58.467
2021,PRODUITS KRUGER s.e.c.,Produits Kruger s.e.c.,Crabtree,Quebec,322121,56.402
2020,Potash Corporation of Saskatchewan Inc.,POTASH CORP - LANIGAN DIVISION,Lanigan,Saskatchewan,212396,35.558
2021,Potash Corporation of Saskatchewan Inc.,POTASH CORP - LANIGAN DIVISION,Lanigan,Saskatchewan,212396,38.781
2020,GOLDCORP CANADA LTD,Porcupine Gold Mines,SOUTH PORCUPINE,Ontario,212220,163.357043
2021,GOLDCORP CANADA LTD,Porcupine Gold Mines,South Porcupine,Ontario,212220,98.833459
2020,Produits forestiers Résolu,Papeterie de Dolbeau,DOLBEAU-MISTASSINI,Quebec,322121,468.525
2021,Produits forestiers Résolu,Papeterie de Dolbeau,Dolbeau-Mistassini,Quebec,322121,509.391
2020,Prospec Chemicals Co.,PROSPEC CHEMICALS - STURGEON COUNTY,STURGEON COUNTY,Alberta,325110,2.7436
